"parentTerm","parent_size","ID","cluster","parent","parentSimScore","score","size","term","Description","Freq"
"cholesterol homeostasis",26,"GO:0060402",17,"GO:0042632",0.64,1,13,"calcium ion transport into cytosol","calcium ion transport into cytosol",1
"cholesterol homeostasis",26,"GO:0055072",17,"GO:0042632",0.604,1,37,"iron ion homeostasis","iron ion homeostasis",1
"cholesterol homeostasis",26,"GO:0055089",17,"GO:0042632",0.783,1,15,"fatty acid homeostasis","fatty acid homeostasis",1
"cholesterol homeostasis",26,"GO:0055091",17,"GO:0042632",0.772,1,12,"phospholipid homeostasis","phospholipid homeostasis",1
"cholesterol homeostasis",26,"GO:0006883",17,"GO:0042632",0.541,2,24,"cellular sodium ion homeostasis","cellular sodium ion homeostasis",2
"cholesterol homeostasis",26,"GO:0001659",17,"GO:0042632",0.541,2,20,"temperature homeostasis","temperature homeostasis",2
"cholesterol homeostasis",26,"GO:0055075",17,"GO:0042632",0.555,1,16,"potassium ion homeostasis","potassium ion homeostasis",1
"complement activation, classical pathway",26,"GO:0002376",19,"GO:0006958",0.545,1,31,"immune system process","immune system process",1
"complement activation, classical pathway",26,"GO:0006955",19,"GO:0006958",0.646,1,461,"immune response","immune response",1
"complement activation, classical pathway",26,"GO:0050776",19,"GO:0006958",0.754,3,213,"regulation of immune response","regulation of immune response",3
"complement activation, classical pathway",26,"GO:0006958",19,"GO:0006958",0.999,3,163,"complement activation, classical pathway","complement activation, classical pathway",3
"complement activation, classical pathway",26,"GO:0006957",19,"GO:0006958",0.74,2,14,"complement activation, alternative pathway","complement activation, alternative pathway",2
"complement activation, classical pathway",26,"GO:0042113",19,"GO:0006958",0.413,3,30,"B cell activation","B cell activation",3
"complement activation, classical pathway",26,"GO:0042130",19,"GO:0006958",0.49,1,42,"negative regulation of T cell proliferation","negative regulation of T
cell proliferation",1
"complement activation, classical pathway",26,"GO:0042098",19,"GO:0006958",0.395,1,21,"T cell proliferation","T cell proliferation",1
"complement activation, classical pathway",26,"GO:0030890",19,"GO:0006958",0.546,1,44,"positive regulation of B cell proliferation","positive regulation of B
cell proliferation",1
"complement activation, classical pathway",26,"GO:0045579",19,"GO:0006958",0.507,1,13,"positive regulation of B cell differentiation","positive regulation of B
cell differentiation",1
"complement activation, classical pathway",26,"GO:0050860",19,"GO:0006958",0.623,1,23,"negative regulation of T cell receptor signaling pathway","negative regulation of T
cell receptor signaling pathway",1
"complement activation, classical pathway",26,"GO:0030449",19,"GO:0006958",0.845,3,113,"regulation of complement activation","regulation of complement activation",3
"complement activation, classical pathway",26,"GO:0043032",19,"GO:0006958",0.532,2,18,"positive regulation of macrophage activation","positive regulation of macrophage activation",2
"complement activation, classical pathway",26,"GO:0042104",19,"GO:0006958",0.528,1,26,"positive regulation of activated T cell proliferation","positive regulation of activated
T cell proliferation",1
"complement activation, classical pathway",26,"GO:0006956",19,"GO:0006958",0.924,2,98,"complement activation","complement activation",2
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0034656",30,"GO:0000184",0.681,2,15,"nucleobase-containing small molecule catabolic process","nucleobase-containing small molecule catabolic
process",2
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0010498",30,"GO:0000184",0.685,1,36,"proteasomal protein catabolic process","proteasomal protein catabolic process",1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0010508",30,"GO:0000184",0.494,2,54,"positive regulation of autophagy","positive regulation of autophagy",2
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0016239",30,"GO:0000184",0.472,1,37,"positive regulation of macroautophagy","positive regulation of macroautophagy",1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0016241",30,"GO:0000184",0.505,1,74,"regulation of macroautophagy","regulation of macroautophagy",1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0009134",30,"GO:0000184",0.61,2,1,"nucleoside diphosphate catabolic process","nucleoside diphosphate catabolic process",2
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0016075",30,"GO:0000184",0.684,1,19,"rRNA catabolic process","rRNA catabolic process",1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0006554",30,"GO:0000184",0.438,2,13,"lysine catabolic process","lysine catabolic process",2
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:2000786",30,"GO:0000184",0.416,1,12,"positive regulation of autophagosome assembly","positive regulation of autophagosome assembly",1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0031145",30,"GO:0000184",0.574,1,89,"anaphase-promoting complex-dependent catabolic process","anaphase-promoting complex-dependent catabolic process",1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0045732",30,"GO:0000184",0.596,2,79,"positive regulation of protein catabolic process","positive regulation of protein
catabolic process",2
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0043162",30,"GO:0000184",0.532,1,25,"ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","ubiquitin-dependent protein catabolic process via the
multivesicular body sorting pathway",1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0000184",30,"GO:0000184",0.999,3,151,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","nuclear-transcribed mRNA catabolic process,
nonsense-mediated decay",3
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:1901800",30,"GO:0000184",0.588,1,17,"positive regulation of proteasomal protein catabolic process","positive regulation of proteasomal
protein catabolic process",1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0044257",30,"GO:0000184",0.715,2,17,"cellular protein catabolic process","cellular protein catabolic process",2
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0043488",30,"GO:0000184",0.815,1,121,"regulation of mRNA stability","regulation of mRNA stability",1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",25,"GO:0000956",30,"GO:0000184",0.934,1,14,"nuclear-transcribed mRNA catabolic process","nuclear-transcribed mRNA catabolic process",1
"monocyte chemotaxis",22,"GO:0030335",46,"GO:0002548",0.609,1,259,"positive regulation of cell migration","positive regulation of cell migration",1
"monocyte chemotaxis",22,"GO:0030334",46,"GO:0002548",0.638,2,93,"regulation of cell migration","regulation of cell migration",2
"monocyte chemotaxis",22,"GO:0030593",46,"GO:0002548",0.82,2,90,"neutrophil chemotaxis","neutrophil chemotaxis",2
"monocyte chemotaxis",22,"GO:0002548",46,"GO:0002548",0.999,2,51,"monocyte chemotaxis","monocyte chemotaxis",2
"monocyte chemotaxis",22,"GO:0060285",46,"GO:0002548",0.527,1,20,"cilium-dependent cell motility","cilium-dependent cell motility",1
"monocyte chemotaxis",22,"GO:2001224",46,"GO:0002548",0.468,1,15,"positive regulation of neuron migration","positive regulation of neuron migration",1
"monocyte chemotaxis",22,"GO:0010594",46,"GO:0002548",0.569,1,8,"regulation of endothelial cell migration","regulation of endothelial cell migration",1
"monocyte chemotaxis",22,"GO:0030317",46,"GO:0002548",0.515,2,66,"flagellated sperm motility","flagellated sperm motility",2
"monocyte chemotaxis",22,"GO:0090050",46,"GO:0002548",0.497,1,43,"positive regulation of cell migration involved in sprouting angiogenesis","positive regulation of cell
migration involved in sprouting angiogenesis",1
"monocyte chemotaxis",22,"GO:0007288",46,"GO:0002548",0.455,2,15,"sperm axoneme assembly","sperm axoneme assembly",2
"monocyte chemotaxis",22,"GO:2000145",46,"GO:0002548",0.626,1,29,"regulation of cell motility","regulation of cell motility",1
"monocyte chemotaxis",22,"GO:0010596",46,"GO:0002548",0.531,2,24,"negative regulation of endothelial cell migration","negative regulation of endothelial
cell migration",2
"monocyte chemotaxis",22,"GO:0050900",46,"GO:0002548",0.805,2,191,"leukocyte migration","leukocyte migration",2
"monocyte chemotaxis",22,"GO:0014912",46,"GO:0002548",0.495,1,13,"negative regulation of smooth muscle cell migration","negative regulation of smooth
muscle cell migration",1
"monocyte chemotaxis",22,"GO:0010634",46,"GO:0002548",0.556,1,40,"positive regulation of epithelial cell migration","positive regulation of epithelial
cell migration",1
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:0015914",11,"GO:0006614",0.464,1,34,"phospholipid transport","phospholipid transport",1
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:0015918",11,"GO:0006614",0.478,1,14,"sterol transport","sterol transport",1
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:0070863",11,"GO:0006614",0.558,1,14,"positive regulation of protein exit from endoplasmic reticulum","positive regulation of protein
exit from endoplasmic reticulum",1
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:0006406",11,"GO:0006614",0.639,1,132,"mRNA export from nucleus","mRNA export from nucleus",1
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:0019915",11,"GO:0006614",0.437,2,22,"lipid storage","lipid storage",2
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:1903078",11,"GO:0006614",0.687,2,55,"positive regulation of protein localization to plasma membrane","positive regulation of protein
localization to plasma membrane",2
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:0061512",11,"GO:0006614",0.636,1,34,"protein localization to cilium","protein localization to cilium",1
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:0030301",11,"GO:0006614",0.475,1,20,"cholesterol transport","cholesterol transport",1
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:0051028",11,"GO:0006614",0.511,2,46,"mRNA transport","mRNA transport",2
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:0033365",11,"GO:0006614",0.791,1,15,"protein localization to organelle","protein localization to organelle",1
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:0043113",11,"GO:0006614",0.696,2,29,"receptor clustering","receptor clustering",2
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:0034394",11,"GO:0006614",0.52,1,25,"protein localization to cell surface","protein localization to cell surface",1
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:0006622",11,"GO:0006614",0.707,1,22,"protein targeting to lysosome","protein targeting to lysosome",1
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:0006614",11,"GO:0006614",0.999,4,93,"SRP-dependent cotranslational protein targeting to membrane","SRP-dependent cotranslational protein targeting
to membrane",4
"SRP-dependent cotranslational protein targeting to membrane",22,"GO:1904874",11,"GO:0006614",0.395,1,19,"positive regulation of telomerase RNA localization to Cajal body","positive regulation of telomerase
RNA localization to Cajal body",1
"cell-cell signaling",21,"GO:1900271",32,"GO:0007267",0.612,2,15,"regulation of long-term synaptic potentiation","regulation of long-term synaptic
potentiation",2
"cell-cell signaling",21,"GO:0007271",32,"GO:0007267",0.595,2,28,"synaptic transmission, cholinergic","synaptic transmission, cholinergic",2
"cell-cell signaling",21,"GO:0090090",32,"GO:0007267",0.705,1,229,"negative regulation of canonical Wnt signaling pathway","negative regulation of canonical
Wnt signaling pathway",1
"cell-cell signaling",21,"GO:0030111",32,"GO:0007267",0.777,1,26,"regulation of Wnt signaling pathway","regulation of Wnt signaling pathway",1
"cell-cell signaling",21,"GO:0060292",32,"GO:0007267",0.588,1,17,"long-term synaptic depression","long-term synaptic depression",1
"cell-cell signaling",21,"GO:0051932",32,"GO:0007267",0.61,2,15,"synaptic transmission, GABAergic","synaptic transmission, GABAergic",2
"cell-cell signaling",21,"GO:0090263",32,"GO:0007267",0.682,1,163,"positive regulation of canonical Wnt signaling pathway","positive regulation of canonical
Wnt signaling pathway",1
"cell-cell signaling",21,"GO:0016055",32,"GO:0007267",0.84,2,210,"Wnt signaling pathway","Wnt signaling pathway",2
"cell-cell signaling",21,"GO:0060291",32,"GO:0007267",0.649,2,48,"long-term synaptic potentiation","long-term synaptic potentiation",2
"cell-cell signaling",21,"GO:0007268",32,"GO:0007267",0.852,2,253,"chemical synaptic transmission","chemical synaptic transmission",2
"cell-cell signaling",21,"GO:0060071",32,"GO:0007267",0.673,1,99,"Wnt signaling pathway, planar cell polarity pathway","Wnt signaling pathway, planar
cell polarity pathway",1
"cell-cell signaling",21,"GO:1900273",32,"GO:0007267",0.569,1,21,"positive regulation of long-term synaptic potentiation","positive regulation of long-term
synaptic potentiation",1
"cell-cell signaling",21,"GO:0007267",32,"GO:0007267",0.975,3,216,"cell-cell signaling","cell-cell signaling",3
"negative regulation of Ras protein signal transduction",21,"GO:0019722",31,"GO:0046580",0.445,1,86,"calcium-mediated signaling","calcium-mediated signaling",1
"negative regulation of Ras protein signal transduction",21,"GO:0046328",31,"GO:0046580",0.521,1,19,"regulation of JNK cascade","regulation of JNK cascade",1
"negative regulation of Ras protein signal transduction",21,"GO:0060314",31,"GO:0046580",0.461,1,18,"regulation of ryanodine-sensitive calcium-release channel activity","regulation of ryanodine-sensitive calcium-release
channel activity",1
"negative regulation of Ras protein signal transduction",21,"GO:0009968",31,"GO:0046580",0.688,1,41,"negative regulation of signal transduction","negative regulation of signal transduction",1
"negative regulation of Ras protein signal transduction",21,"GO:0051898",31,"GO:0046580",0.668,1,68,"negative regulation of protein kinase B signaling","negative regulation of protein
kinase B signaling",1
"negative regulation of Ras protein signal transduction",21,"GO:0014067",31,"GO:0046580",0.613,1,17,"negative regulation of phosphatidylinositol 3-kinase signaling","negative regulation of phosphatidylinositol
3-kinase signaling",1
"negative regulation of Ras protein signal transduction",21,"GO:0090037",31,"GO:0046580",0.425,1,10,"positive regulation of protein kinase C signaling","positive regulation of protein
kinase C signaling",1
"negative regulation of Ras protein signal transduction",21,"GO:0035023",31,"GO:0046580",0.858,1,87,"regulation of Rho protein signal transduction","regulation of Rho protein
signal transduction",1
"negative regulation of Ras protein signal transduction",21,"GO:0038061",31,"GO:0046580",0.432,1,72,"NIK/NF-kappaB signaling","NIK/NF-kappaB signaling",1
"negative regulation of Ras protein signal transduction",21,"GO:0046330",31,"GO:0046580",0.51,1,86,"positive regulation of JNK cascade","positive regulation of JNK cascade",1
"negative regulation of Ras protein signal transduction",21,"GO:0014068",31,"GO:0046580",0.489,1,99,"positive regulation of phosphatidylinositol 3-kinase signaling","positive regulation of phosphatidylinositol
3-kinase signaling",1
"negative regulation of Ras protein signal transduction",21,"GO:0031098",31,"GO:0046580",0.459,1,50,"stress-activated protein kinase signaling cascade","stress-activated protein kinase signaling
cascade",1
"negative regulation of Ras protein signal transduction",21,"GO:0035025",31,"GO:0046580",0.779,1,35,"positive regulation of Rho protein signal transduction","positive regulation of Rho
protein signal transduction",1
"negative regulation of Ras protein signal transduction",21,"GO:0007254",31,"GO:0046580",0.445,1,55,"JNK cascade","JNK cascade",1
"negative regulation of Ras protein signal transduction",21,"GO:0048015",31,"GO:0046580",0.436,1,53,"phosphatidylinositol-mediated signaling","phosphatidylinositol-mediated signaling",1
"negative regulation of Ras protein signal transduction",21,"GO:0050848",31,"GO:0046580",0.496,1,15,"regulation of calcium-mediated signaling","regulation of calcium-mediated signaling",1
"negative regulation of Ras protein signal transduction",21,"GO:0007249",31,"GO:0046580",0.451,1,69,"I-kappaB kinase/NF-kappaB signaling","I-kappaB kinase/NF-kappaB signaling",1
"negative regulation of Ras protein signal transduction",21,"GO:0046580",31,"GO:0046580",1,3,27,"negative regulation of Ras protein signal transduction","negative regulation of Ras
protein signal transduction",3
"negative regulation of Ras protein signal transduction",21,"GO:0035556",31,"GO:0046580",0.562,1,416,"intracellular signal transduction","intracellular signal transduction",1
"outer dynein arm assembly",21,"GO:0036158",23,"GO:0036158",1,3,26,"outer dynein arm assembly","outer dynein arm assembly",3
"outer dynein arm assembly",21,"GO:1900029",23,"GO:0036158",0.578,1,18,"positive regulation of ruffle assembly","positive regulation of ruffle assembly",1
"outer dynein arm assembly",21,"GO:0097711",23,"GO:0036158",0.683,2,95,"ciliary basal body-plasma membrane docking","ciliary basal body-plasma membrane
docking",2
"outer dynein arm assembly",21,"GO:0070286",23,"GO:0036158",0.948,2,13,"axonemal dynein complex assembly","axonemal dynein complex assembly",2
"outer dynein arm assembly",21,"GO:0060271",23,"GO:0036158",0.773,2,233,"cilium assembly","cilium assembly",2
"outer dynein arm assembly",21,"GO:1902017",23,"GO:0036158",0.666,1,22,"regulation of cilium assembly","regulation of cilium assembly",1
"outer dynein arm assembly",21,"GO:0044782",23,"GO:0036158",0.763,2,19,"cilium organization","cilium organization",2
"outer dynein arm assembly",21,"GO:0030031",23,"GO:0036158",0.738,1,19,"cell projection assembly","cell projection assembly",1
"outer dynein arm assembly",21,"GO:1902018",23,"GO:0036158",0.605,1,9,"negative regulation of cilium assembly","negative regulation of cilium assembly",1
"outer dynein arm assembly",21,"GO:0051491",23,"GO:0036158",0.599,1,34,"positive regulation of filopodium assembly","positive regulation of filopodium assembly",1
"outer dynein arm assembly",21,"GO:0036159",23,"GO:0036158",0.893,3,22,"inner dynein arm assembly","inner dynein arm assembly",3
"outer dynein arm assembly",21,"GO:1905515",23,"GO:0036158",0.667,1,52,"non-motile cilium assembly","non-motile cilium assembly",1
"outer dynein arm assembly",21,"GO:0044458",23,"GO:0036158",0.634,1,27,"motile cilium assembly","motile cilium assembly",1
"response to hypoxia",21,"GO:0001666",2,"GO:0001666",0.997,5,176,"response to hypoxia","response to hypoxia",5
"response to hypoxia",21,"GO:0009408",2,"GO:0001666",0.7,1,47,"response to heat","response to heat",1
"response to hypoxia",21,"GO:0009612",2,"GO:0001666",0.705,3,58,"response to mechanical stimulus","response to mechanical stimulus",3
"response to hypoxia",21,"GO:0071479",2,"GO:0001666",0.649,1,36,"cellular response to ionizing radiation","cellular response to ionizing radiation",1
"response to hypoxia",21,"GO:0061418",2,"GO:0001666",0.878,2,71,"regulation of transcription from RNA polymerase II promoter in response to hypoxia","regulation of transcription from RNA polymerase
II promoter in response to hypoxia",2
"response to hypoxia",21,"GO:0009314",2,"GO:0001666",0.765,1,29,"response to radiation","response to radiation",1
"response to hypoxia",21,"GO:0034605",2,"GO:0001666",0.687,1,73,"cellular response to heat","cellular response to heat",1
"response to hypoxia",21,"GO:0009650",2,"GO:0001666",0.574,1,14,"UV protection","UV protection",1
"response to hypoxia",21,"GO:0071470",2,"GO:0001666",0.629,2,10,"cellular response to osmotic stress","cellular response to osmotic stress",2
"response to hypoxia",21,"GO:0071456",2,"GO:0001666",0.951,3,124,"cellular response to hypoxia","cellular response to hypoxia",3
"response to hypoxia",21,"GO:0007602",2,"GO:0001666",0.646,1,29,"phototransduction","phototransduction",1
"viral life cycle",20,"GO:0043923",33,"GO:0019058",0.653,1,18,"positive regulation by host of viral transcription","positive regulation by host
of viral transcription",1
"viral life cycle",20,"GO:0045071",33,"GO:0019058",0.853,1,47,"negative regulation of viral genome replication","negative regulation of viral
genome replication",1
"viral life cycle",20,"GO:0032496",33,"GO:0019058",0.592,1,141,"response to lipopolysaccharide","response to lipopolysaccharide",1
"viral life cycle",20,"GO:0050829",33,"GO:0019058",0.531,1,94,"defense response to Gram-negative bacterium","defense response to Gram-negative
bacterium",1
"viral life cycle",20,"GO:0019083",33,"GO:0019058",0.776,3,109,"viral transcription","viral transcription",3
"viral life cycle",20,"GO:0045070",33,"GO:0019058",0.812,1,29,"positive regulation of viral genome replication","positive regulation of viral
genome replication",1
"viral life cycle",20,"GO:0046597",33,"GO:0019058",0.786,1,23,"negative regulation of viral entry into host cell","negative regulation of viral
entry into host cell",1
"viral life cycle",20,"GO:1902187",33,"GO:0019058",0.773,2,18,"negative regulation of viral release from host cell","negative regulation of viral
release from host cell",2
"viral life cycle",20,"GO:0046718",33,"GO:0019058",0.894,1,87,"viral entry into host cell","viral entry into host cell",1
"viral life cycle",20,"GO:0046755",33,"GO:0019058",0.829,1,11,"viral budding","viral budding",1
"viral life cycle",20,"GO:0009617",33,"GO:0019058",0.647,2,93,"response to bacterium","response to bacterium",2
"viral life cycle",20,"GO:0019058",33,"GO:0019058",0.997,3,31,"viral life cycle","viral life cycle",3
"viral life cycle",20,"GO:0019068",33,"GO:0019058",0.844,2,12,"virion assembly","virion assembly",2
"negative regulation of apoptotic process",19,"GO:0008630",27,"GO:0043066",0.6,1,49,"intrinsic apoptotic signaling pathway in response to DNA damage","intrinsic apoptotic signaling pathway
in response to DNA damage",1
"negative regulation of apoptotic process",19,"GO:1901216",27,"GO:0043066",0.639,1,42,"positive regulation of neuron death","positive regulation of neuron death",1
"negative regulation of apoptotic process",19,"GO:0097190",27,"GO:0043066",0.732,2,64,"apoptotic signaling pathway","apoptotic signaling pathway",2
"negative regulation of apoptotic process",19,"GO:0043066",27,"GO:0043066",0.991,3,540,"negative regulation of apoptotic process","negative regulation of apoptotic process",3
"negative regulation of apoptotic process",19,"GO:0097192",27,"GO:0043066",0.581,1,34,"extrinsic apoptotic signaling pathway in absence of ligand","extrinsic apoptotic signaling pathway
in absence of ligand",1
"negative regulation of apoptotic process",19,"GO:2001237",27,"GO:0043066",0.79,1,37,"negative regulation of extrinsic apoptotic signaling pathway","negative regulation of extrinsic
apoptotic signaling pathway",1
"negative regulation of apoptotic process",19,"GO:2001235",27,"GO:0043066",0.712,1,26,"positive regulation of apoptotic signaling pathway","positive regulation of apoptotic
signaling pathway",1
"negative regulation of apoptotic process",19,"GO:2001244",27,"GO:0043066",0.645,2,47,"positive regulation of intrinsic apoptotic signaling pathway","positive regulation of intrinsic
apoptotic signaling pathway",2
"negative regulation of apoptotic process",19,"GO:2000352",27,"GO:0043066",0.713,1,33,"negative regulation of endothelial cell apoptotic process","negative regulation of endothelial
cell apoptotic process",1
"negative regulation of apoptotic process",19,"GO:2001243",27,"GO:0043066",0.792,1,27,"negative regulation of intrinsic apoptotic signaling pathway","negative regulation of intrinsic
apoptotic signaling pathway",1
"negative regulation of apoptotic process",19,"GO:0097284",27,"GO:0043066",0.502,1,11,"hepatocyte apoptotic process","hepatocyte apoptotic process",1
"negative regulation of apoptotic process",19,"GO:0043065",27,"GO:0043066",0.816,1,383,"positive regulation of apoptotic process","positive regulation of apoptotic process",1
"negative regulation of apoptotic process",19,"GO:0001836",27,"GO:0043066",0.579,1,25,"release of cytochrome c from mitochondria","release of cytochrome c
from mitochondria",1
"negative regulation of apoptotic process",19,"GO:0097191",27,"GO:0043066",0.657,1,49,"extrinsic apoptotic signaling pathway","extrinsic apoptotic signaling pathway",1
"negative regulation of apoptotic process",19,"GO:1901214",27,"GO:0043066",0.716,1,19,"regulation of neuron death","regulation of neuron death",1
"protein homotrimerization",19,"GO:0051016",26,"GO:0070207",0.456,1,18,"barbed-end actin filament capping","barbed-end actin filament capping",1
"protein homotrimerization",19,"GO:0051382",26,"GO:0070207",0.453,1,16,"kinetochore assembly","kinetochore assembly",1
"protein homotrimerization",19,"GO:0032981",26,"GO:0070207",0.503,2,114,"mitochondrial respiratory chain complex I assembly","mitochondrial respiratory chain complex
I assembly",2
"protein homotrimerization",19,"GO:0033622",26,"GO:0070207",0.456,1,10,"integrin activation","integrin activation",1
"protein homotrimerization",19,"GO:0051693",26,"GO:0070207",0.474,1,14,"actin filament capping","actin filament capping",1
"protein homotrimerization",19,"GO:0065003",26,"GO:0070207",0.631,1,118,"protein-containing complex assembly","protein-containing complex assembly",1
"protein homotrimerization",19,"GO:0051289",26,"GO:0070207",0.758,1,98,"protein homotetramerization","protein homotetramerization",1
"protein homotrimerization",19,"GO:0034374",26,"GO:0070207",0.428,1,17,"low-density lipoprotein particle remodeling","low-density lipoprotein particle remodeling",1
"protein homotrimerization",19,"GO:0070207",26,"GO:0070207",1,3,32,"protein homotrimerization","protein homotrimerization",3
"protein homotrimerization",19,"GO:0034375",26,"GO:0070207",0.444,1,33,"high-density lipoprotein particle remodeling","high-density lipoprotein particle remodeling",1
"protein homotrimerization",19,"GO:0045010",26,"GO:0070207",0.488,2,12,"actin nucleation","actin nucleation",2
"protein homotrimerization",19,"GO:0030041",26,"GO:0070207",0.531,2,34,"actin filament polymerization","actin filament polymerization",2
"protein homotrimerization",19,"GO:0051258",26,"GO:0070207",0.547,1,14,"protein polymerization","protein polymerization",1
"protein homotrimerization",19,"GO:0031333",26,"GO:0070207",0.513,1,19,"negative regulation of protein-containing complex assembly","negative regulation of protein-containing
complex assembly",1
"negative regulation of endopeptidase activity",18,"GO:0006479",1,"GO:0010951",0.353,1,34,"protein methylation","protein methylation",1
"negative regulation of endopeptidase activity",18,"GO:0045736",1,"GO:0010951",0.679,1,39,"negative regulation of cyclin-dependent protein serine/threonine kinase activity","negative regulation of cyclin-dependent protein serine/threonine
kinase activity",1
"negative regulation of endopeptidase activity",18,"GO:0051571",1,"GO:0010951",0.421,1,15,"positive regulation of histone H3-K4 methylation","positive regulation of histone
H3-K4 methylation",1
"negative regulation of endopeptidase activity",18,"GO:0043407",1,"GO:0010951",0.721,1,43,"negative regulation of MAP kinase activity","negative regulation of MAP
kinase activity",1
"negative regulation of endopeptidase activity",18,"GO:0010951",1,"GO:0010951",0.998,7,150,"negative regulation of endopeptidase activity","negative regulation of endopeptidase activity",7
"negative regulation of endopeptidase activity",18,"GO:0070373",1,"GO:0010951",0.646,1,79,"negative regulation of ERK1 and ERK2 cascade","negative regulation of ERK1
and ERK2 cascade",1
"negative regulation of endopeptidase activity",18,"GO:0001933",1,"GO:0010951",0.762,2,76,"negative regulation of protein phosphorylation","negative regulation of protein phosphorylation",2
"negative regulation of endopeptidase activity",18,"GO:0043409",1,"GO:0010951",0.704,2,27,"negative regulation of MAPK cascade","negative regulation of MAPK cascade",2
"negative regulation of endopeptidase activity",18,"GO:0000188",1,"GO:0010951",0.669,1,30,"inactivation of MAPK activity","inactivation of MAPK activity",1
"negative regulation of endopeptidase activity",18,"GO:0045862",1,"GO:0010951",0.826,1,19,"positive regulation of proteolysis","positive regulation of proteolysis",1
"positive regulation of ERK1 and ERK2 cascade",17,"GO:0034199",13,"GO:0070374",0.563,1,19,"activation of protein kinase A activity","activation of protein kinase
A activity",1
"positive regulation of ERK1 and ERK2 cascade",17,"GO:0031954",13,"GO:0070374",0.579,1,25,"positive regulation of protein autophosphorylation","positive regulation of protein autophosphorylation",1
"positive regulation of ERK1 and ERK2 cascade",17,"GO:0043410",13,"GO:0070374",0.888,1,120,"positive regulation of MAPK cascade","positive regulation of MAPK cascade",1
"positive regulation of ERK1 and ERK2 cascade",17,"GO:0016310",13,"GO:0070374",0.66,1,105,"phosphorylation","phosphorylation",1
"positive regulation of ERK1 and ERK2 cascade",17,"GO:0007171",13,"GO:0070374",0.549,1,13,"activation of transmembrane receptor protein tyrosine kinase activity","activation of transmembrane receptor
protein tyrosine kinase activity",1
"positive regulation of ERK1 and ERK2 cascade",17,"GO:0000187",13,"GO:0070374",0.781,2,133,"activation of MAPK activity","activation of MAPK activity",2
"positive regulation of ERK1 and ERK2 cascade",17,"GO:0033674",13,"GO:0070374",0.736,1,16,"positive regulation of kinase activity","positive regulation of kinase activity",1
"positive regulation of ERK1 and ERK2 cascade",17,"GO:0016311",13,"GO:0070374",0.478,1,92,"dephosphorylation","dephosphorylation",1
"positive regulation of ERK1 and ERK2 cascade",17,"GO:0070372",13,"GO:0070374",0.969,1,28,"regulation of ERK1 and ERK2 cascade","regulation of ERK1 and
ERK2 cascade",1
"positive regulation of ERK1 and ERK2 cascade",17,"GO:0032147",13,"GO:0070374",0.709,1,97,"activation of protein kinase activity","activation of protein kinase activity",1
"positive regulation of ERK1 and ERK2 cascade",17,"GO:0061098",13,"GO:0070374",0.609,1,41,"positive regulation of protein tyrosine kinase activity","positive regulation of protein
tyrosine kinase activity",1
"positive regulation of ERK1 and ERK2 cascade",17,"GO:0070374",13,"GO:0070374",0.998,4,252,"positive regulation of ERK1 and ERK2 cascade","positive regulation of ERK1
and ERK2 cascade",4
"positive regulation of ERK1 and ERK2 cascade",17,"GO:0000185",13,"GO:0070374",0.654,1,14,"activation of MAPKKK activity","activation of MAPKKK activity",1
